study_accession,reads_accession,fastq_1,fastq_2,library_layout,library_strategy,platform
PRJEB51728,ERR10900645,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/045/ERR10900645/ERR10900645_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/045/ERR10900645/ERR10900645_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900646,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/046/ERR10900646/ERR10900646_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/046/ERR10900646/ERR10900646_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900649,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/049/ERR10900649/ERR10900649_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/049/ERR10900649/ERR10900649_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900654,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/054/ERR10900654/ERR10900654_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/054/ERR10900654/ERR10900654_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900655,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/055/ERR10900655/ERR10900655_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/055/ERR10900655/ERR10900655_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900659,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/059/ERR10900659/ERR10900659_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/059/ERR10900659/ERR10900659_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900660,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/060/ERR10900660/ERR10900660_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/060/ERR10900660/ERR10900660_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900666,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/066/ERR10900666/ERR10900666_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/066/ERR10900666/ERR10900666_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900669,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/069/ERR10900669/ERR10900669_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/069/ERR10900669/ERR10900669_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900670,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/070/ERR10900670/ERR10900670_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/070/ERR10900670/ERR10900670_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900671,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/071/ERR10900671/ERR10900671_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/071/ERR10900671/ERR10900671_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900673,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/073/ERR10900673/ERR10900673_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/073/ERR10900673/ERR10900673_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900675,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/075/ERR10900675/ERR10900675_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/075/ERR10900675/ERR10900675_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900678,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/078/ERR10900678/ERR10900678_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/078/ERR10900678/ERR10900678_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900680,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/080/ERR10900680/ERR10900680_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/080/ERR10900680/ERR10900680_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900683,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/083/ERR10900683/ERR10900683_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/083/ERR10900683/ERR10900683_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900685,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/085/ERR10900685/ERR10900685_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/085/ERR10900685/ERR10900685_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900686,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/086/ERR10900686/ERR10900686_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/086/ERR10900686/ERR10900686_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900687,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/087/ERR10900687/ERR10900687_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/087/ERR10900687/ERR10900687_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900689,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/089/ERR10900689/ERR10900689_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/089/ERR10900689/ERR10900689_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900690,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/090/ERR10900690/ERR10900690_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/090/ERR10900690/ERR10900690_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900696,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/096/ERR10900696/ERR10900696_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/096/ERR10900696/ERR10900696_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900702,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/002/ERR10900702/ERR10900702_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/002/ERR10900702/ERR10900702_2.fastq.gz,paired,wgs,illumina
